benchmark,transformation,family,dataset,replicate,pca_dim,alpha,knn,n_clusters,n_clusters_counts,ARI,AMI,NMI,rel_ARI,rel_AMI,rel_NMI,mean_knn_overlap
simulation,rand_quantile,glm_residual,muscat,1,10,TRUE,50,8,8,0.525189710211072,0.6928292600470757,0.6928292600470757,1.1014992591704635,1.0677510659797917,1.0677510659797917,2.7386
simulation,dino,latent_expr,muscat,1,10,FALSE,50,8,9,0.4925957120796472,0.6895454336782246,0.6895454336782246,1.0331386951740007,1.0626902099968978,1.0626902099968978,2.9216
simulation,normalisr_norm,latent_expr,muscat,1,10,FALSE,50,8,9,0.3091001699188124,0.5770991218348192,0.5770991218348192,0.6482868981538139,0.8893940225233284,0.8893940225233284,2.5076
simulation,sanity_map,latent_expr,muscat,1,10,FALSE,50,8,8,0.5971504451256181,0.6787524263554624,0.6787524263554624,1.2524250954094838,1.0460566095724237,1.0460566095724237,2.572
simulation,sanity_dists,latent_expr,muscat,1,10,FALSE,50,8,5,0.5017462509574527,0.677652044115997,0.677652044115997,1.0523304493134,1.0443607598487925,1.0443607598487925,2.7854
simulation,glmpca,count_model,muscat,1,10,FALSE,50,8,6,0.5565725006200372,0.6802646131142515,0.6802646131142515,1.1673195136691366,1.0483871101975673,1.0483871101975673,2.7736
simulation,newwave,count_model,muscat,1,10,TRUE,50,8,7,0.5684304348644469,0.6955573764204375,0.6955573764204375,1.192189585438555,1.0719554917073888,1.0719554917073888,2.705
simulation,raw_counts,negative_control,muscat,1,10,FALSE,50,8,10,0.3104070681735616,0.49346525845236017,0.49346525845236017,0.6510279028449357,0.7605020257093354,0.7605020257093354,2.2236
simulation,scaled_raw_counts,negative_control,muscat,1,10,FALSE,50,8,7,0.4555152618556775,0.5801656530687411,0.5801656530687411,0.955368533921232,0.8941199949709385,0.8941199949709385,2.3618
simulation,logp1,delta_method,muscat,2,10,FALSE,50,8,15,0.3452426747373866,0.5674711606964622,0.5674711606964622,0.7883571967114448,0.9015721828650466,0.9015721828650466,2.6992
simulation,logp1_hvg,delta_method,muscat,2,10,FALSE,50,8,10,0.44240927426576576,0.6959904079788932,0.6959904079788932,1.0102358740112451,1.1057576751645788,1.1057576751645788,2.6992
simulation,logp1_zscore,delta_method,muscat,2,10,FALSE,50,8,12,0.4042690360422499,0.6860059131750051,0.6860059131750051,0.9231431317519941,1.089894767234424,1.089894767234424,2.633
simulation,logp1_hvg_zscore,delta_method,muscat,2,10,FALSE,50,8,12,0.4093923278918775,0.6740641279080273,0.6740641279080273,0.9348421026384274,1.0709222058848018,1.0709222058848018,2.635
simulation,logp_cpm,delta_method,muscat,2,10,FALSE,50,8,7,0.4945346836185911,0.6732877942097399,0.6732877942097399,1.1292635742400428,1.069688802470719,1.069688802470719,2.5152
simulation,logp1_size_normed,delta_method,muscat,2,10,FALSE,50,8,8,0.4492446550146914,0.6873633831897094,0.6873633831897094,1.0258443778260689,1.092051453404746,1.092051453404746,2.706
simulation,acosh,delta_method,muscat,2,10,TRUE,50,8,5,0.48844794923349727,0.6720468044353846,0.6720468044353846,1.1153645947450839,1.0677171747700167,1.0677171747700167,2.569
simulation,logp_alpha,delta_method,muscat,2,10,TRUE,50,8,11,0.4405320674321172,0.6938334001057832,0.6938334001057832,1.0059492964085532,1.102330719873617,1.102330719873617,2.5968
simulation,pearson,glm_residual,muscat,2,10,TRUE,50,8,9,0.4696220391693295,0.6461655539656528,0.6461655539656528,1.072375871827158,1.0265982297074423,1.0265982297074423,2.5282
simulation,pearson_clip,glm_residual,muscat,2,10,TRUE,50,8,10,0.4703711548140276,0.6547950159861419,0.6547950159861419,1.0740864677438304,1.0403083236287172,1.0403083236287172,2.526
simulation,pearson_clip_hvg,glm_residual,muscat,2,10,TRUE,50,8,8,0.4855621722622039,0.6488528241795524,0.6488528241795524,1.1087749602361001,1.0308676415128286,1.0308676415128286,2.5262
simulation,pearson_clip_zscore,glm_residual,muscat,2,10,TRUE,50,8,10,0.469869563792345,0.6984933754958831,0.6984933754958831,1.0729410911125954,1.1097342752884745,1.1097342752884745,2.6728
simulation,pearson_clip_hvg_zscore,glm_residual,muscat,2,10,TRUE,50,8,10,0.4755264255565045,0.6987999730601894,0.6987999730601894,1.0858584620197962,1.110221383452656,1.110221383452656,2.6746
simulation,pearson_analytic,glm_residual,muscat,2,10,TRUE,50,8,9,0.4719400076174827,0.6620733965095872,0.6620733965095872,1.0776689228940393,1.0518718811638552,1.0518718811638552,2.5886
simulation,sctransform,glm_residual,muscat,2,10,TRUE,50,8,9,0.45737489125806097,0.6058821416803867,0.6058821416803867,1.0444096674684924,0.9625977897508001,0.9625977897508001,2.4456
